rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
1,699013,Esmerlyn Valdez,PIT,WSH,2026-07-03T22:45:00Z,Scheduled,2,Foster Griffin,656492,L,69.6,Tier 3,Watch List,"Projected Lineup, Elite Power, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",88.5,45.0,28.2,95.5,78.0,100.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,13,24,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 10.4% barrel, 16.0 HR allowed",EV profile; pitcher fly-ball pressure modest,30.3,57.6,92.3,104.2695,0.628,0.371,0.403,75.2,52.1,21.2,42.4,6.0,0.415,10.4,37.4,87.7,0.406,0.168,26.7,,,Nationals Park,
12,696100,Hunter Goodman,COL,SF,2026-07-04T00:10:00Z,Scheduled,3,,,,58.2,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",62.1,41.2,38.7,92.1,60.0,73.2,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,29,6,Hot streak: 6 HR in last 7 games,"handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,15.98,47.11,91.29,103.01,0.473,0.2385,0.3268,75.03,50.75,49.82,32.9,28.2,0.2854,,,,,,,,,Coors Field,
13,694212,Samuel Basallo,BAL,CIN,2026-07-03T23:10:00Z,Scheduled,5,Brady Singer,663903,R,57.5,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",47.6,59.0,39.3,81.9,80.0,61.5,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,21,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 10.7% barrel, 19.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.65,44.75,90.71,102.5911,0.4394,0.1952,0.3225,75.01,51.05,41.97,28.98,9.6,0.1853,10.73,41.05,91.0,0.465,0.1996,28.68,,,Great American Ball Park,
14,678246,Miguel Vargas,CWS,CLE,2026-07-03T23:10:00Z,Scheduled,2,Gavin Williams,668909,R,57.5,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",55.6,58.8,27.6,95.5,50.0,60.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,29,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 11.2% barrel, 17.4 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,12.97,44.35,90.05,100.5013,0.5071,0.2417,0.3778,73.12,34.94,42.81,35.52,18.1,0.2188,11.24,47.03,90.96,0.4281,0.188,24.11,,,Progressive Field,
15,621439,Byron Buxton,MIN,NYY,2026-07-03T23:05:00Z,Scheduled,2,Gerrit Cole,543037,R,57.1,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",69.9,36.5,38.2,95.5,50.0,34.2,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,31,1,"Last 7 games: 7/31, 1 HR","same-side matchup; pitcher baseline 7.5% barrel, 7.0 HR allowed",fly-ball profile; pitcher allows elevated contact,18.26,49.25,91.17,102.4991,0.5161,0.2667,0.3507,74.44,43.5,48.03,36.24,28.0,0.2996,7.5,37.7,89.9,0.369,0.131,33.6,,,Yankee Stadium,
16,666160,Mickey Moniak,COL,SF,2026-07-04T00:10:00Z,Scheduled,2,,,,56.7,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",55.8,41.2,38.7,95.5,60.0,77.4,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,26,3,Hot streak: 3 HR in last 7 games,"handedness incomplete; pitcher baseline 0.0% barrel, 0.0 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,13.73,42.43,89.84,100.5814,0.4753,0.2364,0.3251,74.15,43.63,50.58,39.85,17.0,0.304,,,,,,,,,Coors Field,
17,805811,Bryce Eldridge,SF,COL,2026-07-04T00:10:00Z,Scheduled,6,Ryan Feltner,663372,R,56.5,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",70.2,40.5,38.7,71.7,80.0,10.8,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,26,0,"Last 7 games: 5/26, 0 HR","platoon edge; pitcher baseline 7.6% barrel, 6.8 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.55,59.7,93.22,103.4707,0.4925,0.2526,0.3636,72.97,27.88,41.63,35.44,4.2,0.1539,7.6,39.34,88.67,0.4351,0.1814,26.92,,,Coors Field,
18,691406,Junior Caminero,TB,HOU,2026-07-04T00:15:00Z,Scheduled,3,Spencer Arrighetti,681293,R,56.3,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",65.0,35.7,27.6,92.1,50.0,93.9,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,29,8,Hot streak: 8 HR in last 7 games,"same-side matchup; pitcher baseline 7.8% barrel, 8.1 HR allowed",EV profile; pitcher fly-ball pressure modest,13.72,52.1,93.17,105.5339,0.5101,0.2383,0.3677,79.55,86.84,45.38,23.63,30.3,0.2689,7.82,35.37,88.12,0.3987,0.1574,28.79,,,Daikin Park,
19,665019,Kody Clemens,MIN,NYY,2026-07-03T23:05:00Z,Scheduled,3,Gerrit Cole,543037,R,55.9,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",54.2,36.5,38.2,92.1,80.0,69.1,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,28,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 7.5% barrel, 7.0 HR allowed",lift-pull EV profile; pitcher allows elevated contact,12.49,47.25,92.34,101.742,0.465,0.2104,0.3373,71.92,14.03,42.37,32.62,15.5,0.2294,7.5,37.7,89.9,0.369,0.131,33.6,,,Yankee Stadium,
20,672960,Kazuma Okamoto,TOR,SEA,2026-07-04T02:10:00Z,Scheduled,3,Luis Castillo,622491,R,55.6,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",58.3,52.2,25.4,92.1,50.0,53.3,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,26,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 10.0% barrel, 13.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,14.8,49.5,91.6,102.7565,0.445,0.223,0.329,73.2,36.1,51.0,30.6,19.0,0.224,9.98,44.16,90.3,0.4271,0.1723,28.07,,,T-Mobile Park,
21,682674,Victor Bericoto,SF,COL,2026-07-04T00:10:00Z,Scheduled,8,Ryan Feltner,663372,R,54.9,Longshot,Watch List,"Projected Lineup, Strong Barrel, Hot Hitter/Streak",70.5,40.5,38.7,47.9,50.0,98.4,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,22,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 7.6% barrel, 6.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,17.2,51.7,90.0,101.0065,0.528,0.311,0.319,74.4,47.6,37.9,31.0,4.0,0.333,7.6,39.34,88.67,0.4351,0.1814,26.92,,,Coors Field,
22,682829,Elly De La Cruz,CIN,BAL,2026-07-03T23:10:00Z,Scheduled,1,Trevor Rogers,669432,L,54.8,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",58.3,36.0,39.3,88.7,75.0,36.5,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,29,1,"Last 7 games: 7/29, 1 HR","switch hitter; pitcher baseline 7.0% barrel, 8.1 HR allowed",EV profile; pitcher fly-ball pressure modest,13.52,50.22,93.31,104.4421,0.4674,0.2024,0.3486,74.71,47.24,32.37,27.69,15.7,0.204,7.04,41.54,89.14,0.397,0.1531,24.95,,,Great American Ball Park,
23,671277,Luis Garcia,WSH,PIT,2026-07-03T22:45:00Z,Scheduled,2,Mitch Keller,656605,R,54.7,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",47.1,39.0,28.2,95.5,80.0,100.0,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,24,4,Hot streak: 4 HR in last 7 games,"platoon edge; pitcher baseline 6.8% barrel, 12.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.56,46.71,91.6,101.8933,0.4847,0.2002,0.3446,73.1,33.25,39.75,22.12,16.0,0.2279,6.75,42.19,89.26,0.4279,0.1521,24.05,,,Nationals Park,
24,691023,Jordan Walker,STL,CHC,2026-07-03T20:05:00Z,Scheduled,4,David Peterson,656849,L,54.4,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",58.0,35.8,29.8,90.4,78.0,50.3,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,24,1,Contact streak: 8/24 over last 7 games,"platoon edge; pitcher baseline 6.6% barrel, 8.2 HR allowed",EV profile; pitcher fly-ball pressure modest,12.51,50.63,93.28,104.9767,0.4575,0.1991,0.3347,78.8,83.12,37.33,24.19,14.4,0.182,6.61,42.29,89.97,0.4105,0.1405,18.45,,,Wrigley Field,
25,571970,Max Muncy,LAD,SD,2026-07-04T02:10:00Z,Scheduled,5,Michael King,650633,R,54.4,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",58.3,41.7,27.6,81.9,80.0,46.9,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,29,1,"Last 7 games: 9/29, 1 HR","platoon edge; pitcher baseline 9.7% barrel, 10.6 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,14.16,46.81,90.39,101.4947,0.5005,0.2513,0.3698,71.48,14.01,52.27,35.02,17.6,0.2403,9.72,36.14,87.59,0.42,0.173,25.09,,,UNIQLO Field at Dodger Stadium,
26,643217,Andrew Benintendi,CWS,CLE,2026-07-03T23:10:00Z,Scheduled,4,Gavin Williams,668909,R,54.3,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",42.4,58.8,27.6,90.4,80.0,44.8,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,27,1,"Last 7 games: 8/27, 1 HR","platoon edge; pitcher baseline 11.2% barrel, 17.4 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.54,45.09,89.19,99.0894,0.437,0.1872,0.3249,69.47,4.01,52.34,31.78,13.0,0.1917,11.24,47.03,90.96,0.4281,0.188,24.11,,,Progressive Field,
27,596019,Francisco Lindor,NYM,ATL,2026-07-03T23:15:00Z,Scheduled,4,Grant Holmes,656550,R,54.3,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",46.9,50.4,30.9,90.4,75.0,54.7,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,2,Hot streak: 2 HR in last 7 games,"switch hitter; pitcher baseline 9.5% barrel, 14.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.39,46.85,91.55,100.6433,0.4575,0.1989,0.3471,72.19,21.79,43.92,29.11,12.1,0.1801,9.54,43.86,90.8,0.4231,0.1782,26.83,,,Truist Park,
28,621566,Matt Olson,ATL,NYM,2026-07-03T23:15:00Z,Scheduled,3,Christian Scott,681035,R,54.1,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",64.7,28.0,30.9,92.1,80.0,26.4,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,27,0,"Last 7 games: 8/27, 0 HR","platoon edge; pitcher baseline 6.0% barrel, 5.0 HR allowed",EV profile; pitcher fly-ball pressure modest,13.77,51.83,92.95,104.0511,0.5081,0.2538,0.3607,74.67,48.51,35.48,32.08,22.7,0.2393,6.0,33.3,87.9,0.394,0.145,29.1,,,Truist Park,
29,641343,Jake Bauers,MIL,AZ,2026-07-04T01:45:00Z,Scheduled,5,Jose Cabrera,703615,R,53.9,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",58.8,42.5,28.2,81.9,80.0,27.6,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,22,1,"Last 7 games: 4/22, 1 HR","platoon edge; pitcher baseline 9.7% barrel, 2.0 HR allowed",EV profile; pitcher fly-ball pressure modest,13.21,50.43,92.19,103.0021,0.4598,0.2146,0.3547,76.71,70.77,37.75,29.84,12.6,0.2116,9.7,38.7,88.8,0.414,0.173,25.8,,,Chase Field,
30,518692,Freddie Freeman,LAD,SD,2026-07-04T02:10:00Z,Scheduled,3,Michael King,650633,R,53.9,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",50.1,41.7,27.6,92.1,80.0,63.3,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,26,1,Contact streak: 11/26 over last 7 games,"platoon edge; pitcher baseline 9.7% barrel, 10.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.45,46.05,90.83,101.0485,0.5034,0.2154,0.3801,70.25,8.4,36.19,29.17,17.0,0.2084,9.72,36.14,87.59,0.42,0.173,25.09,,,UNIQLO Field at Dodger Stadium,
31,676724,Jared Young,NYM,ATL,2026-07-03T23:15:00Z,Scheduled,5,Grant Holmes,656550,R,53.4,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",49.0,51.9,30.9,81.9,80.0,30.3,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,20,1,"Last 7 games: 4/20, 1 HR","platoon edge; pitcher baseline 9.5% barrel, 14.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,13.25,45.95,88.52,101.4075,0.4315,0.2109,0.3156,73.44,34.3,41.12,27.79,5.4,0.2257,9.54,43.86,90.8,0.4231,0.1782,26.83,,,Truist Park,
