rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
12,664040,Brandon Lowe,PIT,CLE,2026-07-18T23:10:00Z,Pre-Game,7,Logan Allen,671106,L,57.8,Longshot,Watch List,Strong Barrel,53.7,68.2,57.6,64.3,50.0,32.0,Yes,Yes,7,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,30,0,Contact streak: 10/30 over last 7 games,"same-side matchup; pitcher baseline 15.5% barrel, 5.4 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,12.65,45.97,90.96,101.6145,0.464,0.2156,0.3378,73.76,40.61,45.67,33.27,24.0,0.235,15.47,49.4,92.38,0.428,0.1845,32.53,L To R,85,Progressive Field,
13,646240,Rafael Devers,SF,SEA,2026-07-19T00:08:00Z,Pre-Game,4,Bryan Woo,693433,R,57.4,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",58.7,41.4,38.4,94.9,80.0,36.3,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,25,1,"Last 7 games: 6/25, 1 HR","platoon edge; pitcher baseline 7.6% barrel, 14.8 HR allowed",EV profile; pitcher fly-ball pressure modest,12.92,51.97,92.59,103.1178,0.4653,0.2301,0.3376,71.74,20.99,33.98,33.6,23.8,0.227,7.63,42.71,89.45,0.3835,0.1513,29.11,In From LF,76,T-Mobile Park,
14,686527,Dominic Canzone,SEA,SF,2026-07-19T00:08:00Z,Pre-Game,3,Logan Webb,657277,R,57.2,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",62.8,31.2,38.4,96.6,80.0,49.7,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,29,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 6.2% barrel, 9.8 HR allowed",EV profile; pitcher fly-ball pressure modest,14.92,48.51,92.58,103.1752,0.5218,0.2437,0.3718,74.29,44.61,41.3,26.23,13.8,0.237,6.2,40.69,89.21,0.3857,0.1289,19.0,In From LF,76,T-Mobile Park,
15,669477,Casey Schmitt,SF,SEA,2026-07-19T00:08:00Z,Pre-Game,3,Bryan Woo,693433,R,53.5,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot",50.0,41.4,38.4,96.6,50.0,65.2,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,29,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 7.6% barrel, 14.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.52,44.36,89.78,100.7525,0.4997,0.2157,0.3532,72.33,25.99,40.36,32.87,16.9,0.199,7.63,42.71,89.45,0.3835,0.1513,29.11,In From LF,76,T-Mobile Park,
16,679529,Spencer Torkelson,DET,LAA,2026-07-19T02:07:00Z,Scheduled,5,Grayson Rodriguez,680570,R,53.5,Longshot,Watch List,"Projected Lineup, Strong Barrel",51.5,60.5,28.2,81.9,50.0,36.7,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,26,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 8.7% barrel, 4.0 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,13.99,43.91,89.85,100.4677,0.421,0.2034,0.3214,73.07,25.14,47.98,36.25,20.5,0.2062,8.7,51.0,91.4,0.531,0.22,28.8,,,Angel Stadium,
17,693307,Dillon Dingler,DET,LAA,2026-07-19T02:07:00Z,Scheduled,2,Grayson Rodriguez,680570,R,53.3,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",49.3,60.5,28.2,95.5,50.0,8.1,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,23,0,"Last 7 games: 4/23, 0 HR","same-side matchup; pitcher baseline 8.7% barrel, 4.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.81,46.33,89.79,101.1126,0.5072,0.2193,0.3685,71.91,16.56,40.66,29.2,17.2,0.2149,8.7,51.0,91.4,0.531,0.22,28.8,,,Angel Stadium,
18,693304,Nick Gonzales,PIT,CLE,2026-07-18T23:10:00Z,Pre-Game,2,Logan Allen,671106,L,53.2,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",15.3,68.2,57.6,100.0,78.0,42.3,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,25,1,"Last 7 games: 7/25, 1 HR","platoon edge; pitcher baseline 15.5% barrel, 5.4 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,3.17,36.77,86.7,98.4245,0.3792,0.1042,0.3162,70.5,12.38,40.72,19.93,4.3,0.0887,15.47,49.4,92.38,0.428,0.1845,32.53,L To R,85,Progressive Field,
19,690993,Colt Keith,DET,LAA,2026-07-19T02:07:00Z,Scheduled,3,Grayson Rodriguez,680570,R,53.1,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",37.5,60.5,28.2,92.1,80.0,38.7,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,2,15,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.7% barrel, 4.0 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.36,42.72,89.3,100.2207,0.4342,0.1716,0.3284,71.61,17.0,38.78,27.91,9.5,0.1493,8.7,51.0,91.4,0.531,0.22,28.8,,,Angel Stadium,
20,681481,Kerry Carpenter,DET,LAA,2026-07-19T02:07:00Z,Scheduled,6,Grayson Rodriguez,680570,R,52.8,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",51.1,60.5,28.2,71.7,80.0,0.0,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,0,13,0,"Last 7 games: 0/13, 0 HR","platoon edge; pitcher baseline 8.7% barrel, 4.0 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,11.62,47.5,90.84,100.0193,0.43,0.2074,0.3133,71.83,16.31,44.42,38.77,16.9,0.2373,8.7,51.0,91.4,0.531,0.22,28.8,,,Angel Stadium,
21,671277,Luis Garcia,WSH,ATH,2026-07-19T02:05:00Z,Scheduled,2,J.T. Ginn,669372,R,52.6,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",48.7,33.3,30.9,95.5,80.0,66.9,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,28,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.6% barrel, 14.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.19,46.57,91.39,101.8855,0.4987,0.2072,0.3537,73.24,34.44,40.1,21.84,18.8,0.237,7.56,37.57,87.56,0.3775,0.1428,23.64,,,Sutter Health Park,
22,671218,Heliot Ramos,SF,SEA,2026-07-19T00:08:00Z,Pre-Game,5,Bryan Woo,693433,R,52.0,Longshot,Watch List,Strong Barrel,55.8,41.4,38.4,86.4,50.0,27.0,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,30,0,"Last 7 games: 9/30, 0 HR","same-side matchup; pitcher baseline 7.6% barrel, 14.8 HR allowed",EV profile; pitcher fly-ball pressure modest,13.84,49.64,92.36,103.3293,0.4723,0.2044,0.3375,72.74,30.07,35.62,24.07,11.9,0.1755,7.63,42.71,89.45,0.3835,0.1513,29.11,In From LF,76,T-Mobile Park,
23,656555,Rhys Hoskins,CLE,PIT,2026-07-18T23:10:00Z,Pre-Game,4,Mason Montgomery,682254,L,51.5,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge",36.8,34.4,57.6,94.9,78.0,42.4,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,19,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.3% barrel, 4.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.86,41.92,89.01,99.7043,0.3351,0.1529,0.2965,71.56,16.53,55.04,30.77,9.9,0.1839,9.33,40.19,87.83,0.3499,0.1321,22.01,L To R,85,Progressive Field,
24,805808,Kevin McGonigle,DET,LAA,2026-07-19T02:07:00Z,Scheduled,1,Grayson Rodriguez,680570,R,51.3,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",34.1,60.5,28.2,88.7,80.0,33.7,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,27,1,"Last 7 games: 6/27, 1 HR","platoon edge; pitcher baseline 8.7% barrel, 4.0 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,7.8,36.9,88.0,98.4601,0.441,0.173,0.363,71.3,17.0,39.2,35.1,8.0,0.135,8.7,51.0,91.4,0.531,0.22,28.8,,,Angel Stadium,
25,800050,Chase DeLauter,CLE,PIT,2026-07-18T23:10:00Z,Pre-Game,3,Mason Montgomery,682254,L,50.8,Longshot,Watch List,"Premium Lineup Spot, Hot Hitter/Streak",35.0,34.4,57.6,96.6,50.0,87.0,Yes,Yes,3,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,27,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 9.3% barrel, 4.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.7,44.3,90.9,101.4348,0.433,0.154,0.345,71.5,18.5,38.7,21.1,11.0,0.17,9.33,40.19,87.83,0.3499,0.1321,22.01,L To R,85,Progressive Field,
26,677594,Julio Rodríguez,SEA,SF,2026-07-19T00:08:00Z,Pre-Game,2,Logan Webb,657277,R,49.5,Longshot,Watch List,Premium Lineup Spot,47.5,31.2,38.4,100.0,50.0,42.0,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,25,0,Contact streak: 10/25 over last 7 games,"same-side matchup; pitcher baseline 6.2% barrel, 9.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.31,45.48,90.68,102.9047,0.4755,0.2027,0.3482,76.47,65.44,36.32,24.79,19.4,0.1776,6.2,40.69,89.21,0.3857,0.1289,19.0,In From LF,76,T-Mobile Park,
27,682928,CJ Abrams,WSH,ATH,2026-07-19T02:05:00Z,Scheduled,4,J.T. Ginn,669372,R,49.5,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",40.2,33.3,30.9,90.4,80.0,74.2,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,27,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 7.6% barrel, 14.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.28,41.23,89.54,100.0917,0.436,0.1819,0.3335,72.68,26.48,44.36,29.36,19.7,0.2166,7.56,37.57,87.56,0.3775,0.1428,23.64,,,Sutter Health Park,
28,666126,Carlos Cortes,ATH,WSH,2026-07-19T02:05:00Z,Scheduled,7,Zack Littell,641793,R,49.5,Longshot,Watch List,"Projected Lineup, Platoon Edge",35.4,67.7,30.9,59.8,80.0,27.0,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,20,0,"Last 7 games: 6/20, 0 HR","platoon edge; pitcher baseline 10.9% barrel, 26.9 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,8.36,41.9,89.87,100.2581,0.4269,0.1581,0.3315,70.82,14.46,30.69,23.64,5.4,0.1745,10.95,44.12,91.39,0.5154,0.2341,32.0,,,Sutter Health Park,
29,641680,Jonah Heim,ATH,WSH,2026-07-19T02:05:00Z,Scheduled,4,Zack Littell,641793,R,49.2,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",23.6,66.6,30.9,90.4,75.0,28.1,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,27,1,"Last 7 games: 5/27, 1 HR","switch hitter; pitcher baseline 10.9% barrel, 26.9 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,6.66,31.63,87.4,97.8032,0.3768,0.148,0.2907,69.84,9.66,39.44,28.46,9.6,0.189,10.95,44.12,91.39,0.5154,0.2341,32.0,,,Sutter Health Park,
30,687263,Zach Neto,LAA,DET,2026-07-19T02:07:00Z,Scheduled,1,Tarik Skubal,669373,L,48.6,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",49.5,29.4,28.2,88.7,78.0,30.2,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,28,0,Contact streak: 9/28 over last 7 games,"platoon edge; pitcher baseline 7.5% barrel, 12.4 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,13.23,41.42,89.95,100.2322,0.4348,0.2167,0.3209,71.12,12.6,48.04,35.59,21.1,0.2163,7.54,35.66,87.22,0.3538,0.1268,24.85,,,Angel Stadium,
31,663968,Jake Mangum,PIT,CLE,2026-07-18T23:10:00Z,Pre-Game,1,Logan Allen,671106,L,48.5,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",5.1,67.6,57.6,93.2,75.0,42.3,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,25,1,"Last 7 games: 7/25, 1 HR","switch hitter; pitcher baseline 15.5% barrel, 5.4 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,1.93,29.06,85.41,96.4279,0.3332,0.0759,0.2865,67.16,3.62,28.21,13.81,2.3,0.0769,15.47,49.4,92.38,0.428,0.1845,32.53,L To R,85,Progressive Field,
32,671732,Lawrence Butler,ATH,WSH,2026-07-19T02:05:00Z,Scheduled,6,Zack Littell,641793,R,48.4,Longshot,Watch List,"Projected Lineup, Platoon Edge",30.7,67.7,30.9,71.7,80.0,3.4,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,21,0,"Last 7 games: 3/21, 0 HR","platoon edge; pitcher baseline 10.9% barrel, 26.9 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,6.96,44.54,89.38,101.9528,0.3615,0.1283,0.3047,73.73,37.24,36.22,18.85,9.8,0.1196,10.95,44.12,91.39,0.5154,0.2341,32.0,,,Sutter Health Park,
33,678554,Curtis Mead,WSH,ATH,2026-07-19T02:05:00Z,Scheduled,3,J.T. Ginn,669372,R,47.8,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Hot Hitter/Streak",38.9,33.3,30.9,92.1,50.0,100.0,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,13,28,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 7.6% barrel, 14.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,9.47,40.61,87.92,99.9142,0.4389,0.1824,0.3422,72.81,30.62,43.12,31.56,12.8,0.2084,7.56,37.57,87.56,0.3775,0.1428,23.64,,,Sutter Health Park,
