rank,hitter_id,player,team,opponent,game_start_time,game_status,batting_order,pitcher,pitcher_id,pitcher_hand,hr_score,tier,play_type,reason_tags,power_score,pitcher_score,environment_score,lineup_score,platoon_score,recent_form_score,confirmed_lineup,rotowire_confirmed_lineup,rotowire_batting_order,rotowire_player_found,lineup_disagreement,lineup_sources_used,source_warnings,stat_years_used,bvp_pa,bvp_hr,bvp_note,recent_games,recent_hits,recent_abs,recent_hr,recent_form_note,split_matchup_note,pitch_mix_note,barrel_pct,hard_hit_pct,avg_exit_velocity,ev50,xslg,xiso,xwoba,bat_speed,fast_swing_pct,pull_pct,fb_pct,hr_total,iso,pitcher_barrel_pct_allowed,pitcher_hard_hit_pct_allowed,pitcher_avg_exit_velocity_allowed,pitcher_xslg_allowed,pitcher_xiso_allowed,pitcher_fb_pct_allowed,wind_direction,weather_temp,ballpark,odds
35,681481,Kerry Carpenter,DET,TEX,2026-07-04T20:05:00Z,Scheduled,3,Kumar Rocker,677958,R,57.2,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",53.4,46.3,27.6,92.1,80.0,85.0,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,25,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 8.8% barrel, 8.9 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,11.69,49.04,91.12,100.1536,0.444,0.2158,0.321,71.9,16.31,44.63,39.4,16.9,0.2555,8.79,44.14,89.94,0.4388,0.1717,21.39,,,Globe Life Field,
36,575929,Willson Contreras,BOS,LAA,2026-07-05T01:38:00Z,Scheduled,4,Sam Aldegheri,691951,L,57.1,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",57.9,42.2,28.2,90.4,78.0,80.0,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,22,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 8.8% barrel, 3.7 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,13.83,47.39,90.53,103.1006,0.4964,0.2317,0.3734,76.56,67.07,45.68,26.53,18.6,0.2292,8.85,36.38,88.02,0.4515,0.1728,32.18,,,Angel Stadium,
37,665052,Griffin Conine,MIA,ATH,2026-07-05T01:40:00Z,Scheduled,5,Aaron Civale,650644,R,57.1,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",54.0,57.0,30.9,81.9,80.0,45.3,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,20,1,"Last 7 games: 6/20, 1 HR","platoon edge; pitcher baseline 9.8% barrel, 14.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,13.89,52.3,89.71,104.5189,0.4845,0.2061,0.3727,73.98,42.36,47.08,17.46,2.7,0.1993,9.8,43.93,89.9,0.4671,0.2005,33.72,,,Sutter Health Park,
38,683737,Michael Busch,CHC,STL,2026-07-05T00:08:00Z,Scheduled,3,Kyle Leahy,681517,R,56.9,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",48.4,58.5,29.8,92.1,80.0,46.4,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,27,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 11.2% barrel, 7.8 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,12.97,43.03,89.4,99.9467,0.4535,0.216,0.3549,68.76,5.18,38.81,36.37,17.9,0.1906,11.2,48.37,91.06,0.466,0.1866,22.4,,,Wrigley Field,
39,607043,Brandon Nimmo,TEX,DET,2026-07-04T20:05:00Z,Scheduled,3,Jack Flaherty,656427,R,56.4,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",55.7,48.7,27.6,92.1,80.0,40.7,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,26,1,"Last 7 games: 7/26, 1 HR","platoon edge; pitcher baseline 8.8% barrel, 12.5 HR allowed",EV profile; pitcher allows elevated contact,11.74,52.02,92.46,102.431,0.4946,0.2125,0.3644,72.51,28.04,31.07,28.15,13.1,0.1628,8.83,46.18,90.54,0.3955,0.159,30.43,,,Globe Life Field,
40,668930,Brice Turang,MIL,AZ,2026-07-05T01:40:00Z,Scheduled,3,Merrill Kelly,518876,R,56.3,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",39.4,69.4,28.2,92.1,80.0,47.2,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,10,32,1,"Last 7 games: 10/32, 1 HR","platoon edge; pitcher baseline 12.6% barrel, 19.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.28,44.74,90.96,100.7469,0.4388,0.181,0.3441,70.25,12.22,26.25,22.8,13.8,0.1757,12.59,42.94,90.06,0.536,0.244,27.06,,,Chase Field,
41,672960,Kazuma Okamoto,TOR,SEA,2026-07-04T20:10:00Z,Scheduled,3,Logan Gilbert,669302,R,56.1,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",59.5,51.5,25.4,92.1,50.0,59.1,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,26,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 10.1% barrel, 15.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,15.0,49.5,91.6,102.743,0.456,0.23,0.334,73.1,35.7,51.0,31.0,19.0,0.221,10.07,43.52,90.66,0.3943,0.1645,29.1,,,T-Mobile Park,
42,682829,Elly De La Cruz,CIN,BAL,2026-07-04T23:10:00Z,Scheduled,1,Brandon Young,687064,R,56.1,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",58.3,40.4,39.3,88.7,75.0,41.7,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,29,1,"Last 7 games: 8/29, 1 HR","switch hitter; pitcher baseline 7.8% barrel, 8.5 HR allowed",EV profile; pitcher fly-ball pressure modest,13.59,49.8,93.38,104.4424,0.4667,0.2024,0.3493,74.78,47.73,32.79,27.69,15.7,0.1998,7.75,41.57,89.19,0.4152,0.1658,27.36,,,Great American Ball Park,
43,671277,Luis García Jr.,WSH,PIT,2026-07-04T15:05:00Z,In Progress,2,Braxton Ashcraft,677952,R,56.0,Longshot,Watch List,"Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",49.0,27.8,46.7,100.0,80.0,100.0,Yes,Yes,2,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,12,26,5,Hot streak: 5 HR in last 7 games,"platoon edge; pitcher baseline 5.5% barrel, 8.6 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,10.05,46.78,91.6,101.9729,0.498,0.2093,0.3523,73.17,33.46,39.89,22.19,17.4,0.2412,5.54,39.62,89.47,0.343,0.1185,25.18,In From LF,93,Nationals Park,
44,621566,Matt Olson,ATL,NYM,2026-07-05T00:08:00Z,Scheduled,3,Sean Manaea,640455,L,55.8,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",66.4,35.8,30.9,92.1,50.0,64.8,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,26,2,Hot streak: 2 HR in last 7 games,"same-side matchup; pitcher baseline 7.6% barrel, 8.1 HR allowed",EV profile; pitcher fly-ball pressure modest,14.12,51.97,93.02,104.0943,0.5165,0.2615,0.3649,74.67,48.65,35.83,33.06,24.1,0.2491,7.57,39.73,88.47,0.3975,0.1519,23.57,,,Truist Park,
45,592626,Joc Pederson,TEX,DET,2026-07-04T20:05:00Z,Scheduled,1,Jack Flaherty,656427,R,55.6,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",48.6,48.7,27.6,88.7,80.0,81.4,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,27,5,Hot streak: 5 HR in last 7 games,"platoon edge; pitcher baseline 8.8% barrel, 12.5 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,10.97,48.44,91.83,101.8811,0.4329,0.1873,0.343,72.42,23.4,40.94,27.93,12.5,0.2065,8.83,46.18,90.54,0.3955,0.159,30.43,,,Globe Life Field,
46,673548,Seiya Suzuki,CHC,STL,2026-07-05T00:08:00Z,Scheduled,4,Kyle Leahy,681517,R,55.5,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",45.8,58.5,29.8,90.4,50.0,93.9,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,11,29,3,Hot streak: 3 HR in last 7 games,"same-side matchup; pitcher baseline 11.2% barrel, 7.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.21,43.38,89.97,101.3342,0.4426,0.1921,0.338,73.19,34.33,43.23,29.73,18.7,0.2029,11.2,48.37,91.06,0.466,0.1866,22.4,,,Wrigley Field,
47,683357,Owen Caissie,MIA,ATH,2026-07-05T01:40:00Z,Scheduled,6,Aaron Civale,650644,R,54.8,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",48.3,57.0,30.9,71.7,80.0,66.0,No,No,6,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,19,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 9.8% barrel, 14.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,14.98,39.04,90.31,100.4929,0.3831,0.1769,0.281,74.87,53.73,30.06,30.62,8.0,0.1939,9.8,43.93,89.9,0.4671,0.2005,33.72,,,Sutter Health Park,
48,624424,Michael Conforto,CHC,STL,2026-07-05T00:08:00Z,Scheduled,8,Kyle Leahy,681517,R,54.7,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge, Hot Hitter/Streak",54.2,58.5,29.8,47.9,80.0,87.0,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,18,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 11.2% barrel, 7.8 HR allowed",fly-ball profile; pitcher fly-ball pressure modest,12.78,46.17,91.79,101.3291,0.4541,0.2064,0.3461,73.09,33.71,41.08,36.16,8.5,0.2138,11.2,48.37,91.06,0.466,0.1866,22.4,,,Wrigley Field,
49,691176,Jasson Domínguez,NYY,MIN,2026-07-04T17:35:00Z,Pre-Game,4,Zebby Matthews,805673,R,54.6,Longshot,Watch List,"Good Environment, Premium Lineup Spot, Platoon Edge",24.4,55.9,85.2,94.9,75.0,7.0,Yes,Yes,4,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,24,0,"Last 7 games: 4/24, 0 HR","switch hitter; pitcher baseline 11.7% barrel, 11.3 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,4.9,40.99,89.48,100.338,0.3469,0.1008,0.2857,73.82,31.78,43.46,23.01,5.1,0.1541,11.72,38.17,89.83,0.4526,0.2026,32.77,Out To CF,94,Yankee Stadium,
50,694212,Samuel Basallo,BAL,CIN,2026-07-04T23:10:00Z,Scheduled,5,Hunter Greene,668881,R,54.6,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",48.1,50.8,39.3,81.9,80.0,39.8,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,19,1,"Last 7 games: 5/19, 1 HR","platoon edge; pitcher baseline 9.7% barrel, 15.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,10.93,44.61,90.57,102.5831,0.4422,0.198,0.3239,75.01,50.91,41.9,29.4,10.3,0.1923,9.7,45.0,90.4,0.372,0.171,31.9,,,Great American Ball Park,
51,664023,Ian Happ,CHC,STL,2026-07-05T00:08:00Z,Scheduled,5,Kyle Leahy,681517,R,53.8,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge",49.6,57.6,29.8,81.9,75.0,18.3,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,25,1,"Last 7 games: 3/25, 1 HR","switch hitter; pitcher baseline 11.2% barrel, 7.8 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.71,43.49,89.86,101.2738,0.4346,0.2147,0.3316,71.98,19.16,43.21,34.28,18.8,0.212,11.2,48.37,91.06,0.466,0.1866,22.4,,,Wrigley Field,
52,646240,Rafael Devers,SF,COL,2026-07-05T00:10:00Z,Scheduled,4,Sean Sullivan,807743,L,53.4,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Hot Hitter/Streak",58.8,26.6,38.7,90.4,50.0,93.3,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,24,4,Hot streak: 4 HR in last 7 games,"same-side matchup; pitcher baseline 6.8% barrel, 4.0 HR allowed",EV profile; pitcher allows elevated contact,12.99,52.88,92.66,103.0189,0.4604,0.2273,0.3327,71.6,20.01,32.86,32.97,21.7,0.2228,6.8,28.8,87.3,0.324,0.141,42.4,,,Coors Field,
53,641487,J.P. Crawford,SEA,TOR,2026-07-04T20:10:00Z,Scheduled,1,Shane Bieber,669456,R,53.2,Longshot,Watch List,"Projected Lineup, Pitcher Vulnerable, Premium Lineup Spot, Platoon Edge",24.5,88.8,25.4,88.7,80.0,6.2,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,31,0,"Last 7 games: 5/31, 0 HR","platoon edge; pitcher baseline 16.4% barrel, 5.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,6.51,36.24,87.83,98.3428,0.3825,0.1333,0.3297,71.38,19.37,34.16,21.98,10.6,0.133,16.43,56.88,94.11,0.7212,0.3524,28.83,,,T-Mobile Park,
54,547180,Bryce Harper,PHI,KC,2026-07-05T00:10:00Z,Scheduled,3,Michael Wacha,608379,R,53.2,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",57.1,30.7,23.2,92.1,80.0,68.7,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,27,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 5.9% barrel, 11.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,12.3,47.5,90.74,102.2799,0.5347,0.2485,0.3967,74.27,46.54,38.4,27.17,22.1,0.2484,5.93,35.3,87.92,0.4035,0.1528,26.29,,,Kauffman Stadium,
55,656577,Alex Jackson,MIN,NYY,2026-07-04T17:35:00Z,Pre-Game,9,Brendan Beck,694341,R,53.1,Longshot,Watch List,"Pitcher Vulnerable, Good Environment",20.9,85.8,85.2,44.8,50.0,42.0,Yes,Yes,9,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,15,0,Contact streak: 6/15 over last 7 games,"same-side matchup; pitcher baseline 22.2% barrel, 1.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,4.44,39.3,88.79,99.9375,0.2675,0.0891,0.2217,73.86,40.05,42.65,27.51,1.5,0.1228,22.2,77.8,97.8,0.618,0.253,33.3,Out To CF,94,Yankee Stadium,
56,804606,Konnor Griffin,PIT,WSH,2026-07-04T15:05:00Z,In Progress,1,Carson Palmquist,687223,L,52.9,Longshot,Watch List,"Premium Lineup Spot, Platoon Edge",31.9,54.2,46.7,93.2,78.0,45.3,Yes,Yes,1,Yes,No,MLB Stats API; RotoWire,,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,30,1,"Last 7 games: 9/30, 1 HR","platoon edge; pitcher baseline 10.1% barrel, 3.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,8.4,37.2,87.7,100.6121,0.399,0.157,0.308,75.8,58.5,41.7,18.6,5.0,0.134,10.07,41.19,91.14,0.4411,0.203,34.05,In From LF,93,Nationals Park,
57,647304,Josh Naylor,SEA,TOR,2026-07-04T20:10:00Z,Scheduled,5,Shane Bieber,669456,R,52.8,Longshot,Watch List,"Projected Lineup, Pitcher Vulnerable, Platoon Edge",25.9,88.8,25.4,81.9,80.0,8.8,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,5,28,0,"Last 7 games: 5/28, 0 HR","platoon edge; pitcher baseline 16.4% barrel, 5.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.51,39.03,88.08,99.2994,0.4143,0.1415,0.3273,70.37,10.62,42.13,23.69,11.6,0.1257,16.43,56.88,94.11,0.7212,0.3524,28.83,,,T-Mobile Park,
58,665742,Juan Soto,NYM,ATL,2026-07-05T00:08:00Z,Scheduled,3,Chris Sale,519242,L,52.8,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",73.5,18.7,30.9,92.1,50.0,41.2,No,No,3,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,22,1,"Last 7 games: 6/22, 1 HR","same-side matchup; pitcher baseline 5.5% barrel, 7.5 HR allowed",lift-pull EV profile; pitcher fly-ball pressure modest,15.89,51.94,93.24,103.3636,0.6045,0.3049,0.4262,72.48,29.42,39.32,31.91,25.5,0.2662,5.53,32.32,86.92,0.3284,0.108,25.76,,,Truist Park,
59,702284,Cole Young,SEA,TOR,2026-07-04T20:10:00Z,Scheduled,7,Shane Bieber,669456,R,52.7,Longshot,Watch List,"Projected Lineup, Pitcher Vulnerable, Platoon Edge, Hot Hitter/Streak",25.3,88.8,25.4,59.8,80.0,72.7,No,No,7,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,25,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 16.4% barrel, 5.2 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,5.46,35.86,88.02,98.8162,0.404,0.1408,0.3236,71.61,22.58,43.38,26.66,7.5,0.1185,16.43,56.88,94.11,0.7212,0.3524,28.83,,,T-Mobile Park,
60,545341,Randal Grichuk,CWS,CLE,2026-07-04T23:10:00Z,Scheduled,2,Parker Messick,800048,L,52.4,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",60.9,20.3,27.6,95.5,78.0,58.7,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,15,2,Hot streak: 2 HR in last 7 games,"platoon edge; pitcher baseline 5.7% barrel, 7.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,14.29,48.73,91.07,102.7141,0.534,0.2432,0.3666,73.97,39.84,46.43,29.69,9.0,0.2577,5.73,32.04,87.47,0.3498,0.1191,20.77,,,Progressive Field,
61,677951,Bobby Witt,KC,PHI,2026-07-05T00:10:00Z,Scheduled,2,Jesús Luzardo,666200,L,52.3,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge, Hot Hitter/Streak",59.5,20.0,23.2,95.5,78.0,80.8,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,24,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 6.1% barrel, 11.1 HR allowed",EV profile; pitcher fly-ball pressure modest,12.71,51.3,93.3,103.805,0.5199,0.2178,0.3839,73.88,41.77,29.33,26.71,15.3,0.1878,6.07,31.85,86.96,0.3354,0.1116,21.03,,,Kauffman Stadium,
62,592885,Christian Yelich,MIL,AZ,2026-07-05T01:40:00Z,Scheduled,1,Merrill Kelly,518876,R,52.2,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",34.2,69.4,28.2,88.7,80.0,8.1,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,4,23,0,"Last 7 games: 4/23, 0 HR","platoon edge; pitcher baseline 12.6% barrel, 19.5 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,8.13,42.9,89.29,100.7241,0.3858,0.1583,0.3055,73.19,32.59,36.55,20.14,12.2,0.1481,12.59,42.94,90.06,0.536,0.244,27.06,,,Chase Field,
63,676475,Alec Burleson,STL,CHC,2026-07-05T00:08:00Z,Scheduled,5,Shota Imanaga,684007,L,51.8,Longshot,Watch List,"Projected Lineup, Strong Barrel",52.9,53.9,29.8,81.9,50.0,19.1,No,No,5,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,24,1,"Last 7 games: 3/24, 1 HR","same-side matchup; pitcher baseline 10.8% barrel, 23.3 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,10.48,46.64,91.49,101.6599,0.5193,0.2326,0.3723,72.89,29.62,43.05,28.66,15.2,0.1879,10.76,38.25,88.74,0.4249,0.1961,34.53,,,Wrigley Field,
64,693307,Dillon Dingler,DET,TEX,2026-07-04T20:05:00Z,Scheduled,2,Kumar Rocker,677958,R,51.7,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot",52.7,46.3,27.6,95.5,50.0,23.4,No,No,2,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,8,29,0,"Last 7 games: 8/29, 0 HR","same-side matchup; pitcher baseline 8.8% barrel, 8.9 HR allowed",neutral batted-ball profile; pitcher fly-ball pressure modest,11.37,47.8,90.21,101.3688,0.524,0.2298,0.3762,71.91,16.63,42.13,29.9,17.2,0.2275,8.79,44.14,89.94,0.4388,0.1717,21.39,,,Globe Life Field,
65,682674,Victor Bericoto,SF,COL,2026-07-05T00:10:00Z,Scheduled,8,Sean Sullivan,807743,L,51.2,Longshot,Watch List,"Projected Lineup, Strong Barrel, Platoon Edge, Hot Hitter/Streak",62.9,26.6,38.7,47.9,78.0,91.0,No,No,8,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,9,25,3,Hot streak: 3 HR in last 7 games,"platoon edge; pitcher baseline 6.8% barrel, 4.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,15.6,50.0,89.2,100.77,0.502,0.284,0.309,74.2,46.0,37.5,28.1,4.0,0.302,6.8,28.8,87.3,0.324,0.141,42.4,,,Coors Field,
66,683011,Anthony Volpe,NYY,MIN,2026-07-04T17:35:00Z,Pre-Game,5,Zebby Matthews,805673,R,51.1,Longshot,Watch List,Good Environment,23.9,57.1,85.2,86.4,50.0,3.4,Yes,Yes,5,Yes,No,MLB Stats API; RotoWire,,H:2026/2025 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,3,21,0,"Last 7 games: 3/21, 0 HR","same-side matchup; pitcher baseline 11.7% barrel, 11.3 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,6.23,36.44,88.74,98.8004,0.3511,0.1176,0.3024,71.9,20.41,31.4,23.57,6.4,0.1167,11.72,38.17,89.83,0.4526,0.2026,32.77,Out To CF,94,Yankee Stadium,
67,683002,Gunnar Henderson,BAL,CIN,2026-07-04T23:10:00Z,Scheduled,1,Hunter Greene,668881,R,51.0,Longshot,Watch List,"Projected Lineup, Premium Lineup Spot, Platoon Edge",38.3,50.8,39.3,88.7,80.0,14.1,No,No,1,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026/2025 P:2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,6,28,0,"Last 7 games: 6/28, 0 HR","platoon edge; pitcher baseline 9.7% barrel, 15.0 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,7.97,45.77,90.28,101.1898,0.4019,0.1546,0.3186,74.67,47.31,41.99,24.15,16.3,0.1801,9.7,45.0,90.4,0.372,0.171,31.9,,,Great American Ball Park,
68,696135,Kahlil Watson,CLE,CWS,2026-07-04T23:10:00Z,Scheduled,4,Sean Burke,680732,R,51.0,Longshot,Watch List,"Projected Lineup, Strong Barrel, Premium Lineup Spot, Platoon Edge",45.7,43.7,27.6,90.4,80.0,27.7,No,No,4,Yes,Yes,RotoWire projected lineup; MLB probable pitchers,lineup projected / unconfirmed,H:2026 P:2026/2025,,,Direct BvP not yet weighted; 2026/2025 Statcast baseline active,7,7,23,0,"Last 7 games: 7/23, 0 HR","platoon edge; pitcher baseline 8.4% barrel, 14.6 HR allowed",neutral batted-ball profile; pitcher allows elevated contact,12.1,39.4,91.1,99.6743,0.418,0.195,0.288,72.9,25.9,30.3,27.3,1.0,0.125,8.4,38.57,89.32,0.4031,0.1655,31.47,,,Progressive Field,
